agency_id,agency_name,website,twitter,data_code
1,Street Lighting Bureau,http://bsl.lacity.org/,LAlight,BSL
2,Sanitation Bureau,http://lacitysan.org/,lacitysan,BOS
3,Sanitation Bureau,http://lacitysan.org/,lacitysan,LASAN
4,Office of Community Beautification,http://www.laocb.org/,LA_OCB,OCB
5,Information Technology Agency,http://ita.lacity.org/,,ITA
6,Department of Water & Power,https://www.ladwp.com/,LADWP,LADWP
7,Bureau of Street Services,https://streetsla.lacity.org/,BSSLosAngeles,BSS
8,Transportation Department,http://ladot.lacity.org/,LADOTofficial,LADOT
9,Department of Animal Services,http://www.laanimalservices.com/,lacitypets,LAAS
10,Recreation & Parks,http://www.laparks.org/,LACityParks,RAP
11,Engineering Bureau,http://eng.lacity.org/,,BOE
12,Department of Building and Safety,https://www.ladbs.org/,,LADBS